Do you like hot dogs?,Is a hot dog a sandwich,Are You an Undergraduate
No,Yes,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
No,Yes,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
No,Yes,Yes
Yes,Yes,Yes
Yes,Yes,Yes
No,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
No,No,Yes
No,No,Yes
No,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
No,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
No,No,Yes
Yes,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
No,No,Yes
No,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
No,No,Yes
No,Yes,Yes
No,No,Yes
Yes,No,Yes
Yes,No,Yes
No,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
No,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
No,No,Yes
Yes,No,Yes
No,No,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
No,No,Yes
Yes,Yes,Yes
No,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
No,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,Yes,Yes
No,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
No,Yes,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
No,Yes,Yes
Yes,No,Yes
No,No,Yes
Yes,Yes,Yes
No,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
Yes,No,Yes
No,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,Yes,Yes
No,Yes,Yes
No,No,Yes
No,No,Yes
Yes,No,Yes
Yes,Yes,Yes
Yes,No,Yes
Yes,No,Yes
