Year,Hotdog a Sandwich?
3rd,No
4th,No
4th,No
4th,Yes
4th,Yes
4th,Yes
3rd,Yes
3rd,No
3rd,No
4th,Yes
4th,No
2nd,No
2nd,No
2nd,No
4th,No
3rd,No
3rd,No
4th,No
4th,No
2nd,No
2nd,No
4th,Yes
4th,No
4th,No
4th,No
4th,No
4th,Yes
3rd,No
4th,Yes
2nd,Yes
4th,No
4th,Yes
2nd,No
4th,Yes
2nd,No
4th,No
4th,No
3rd,Yes
2nd,No
4th,No
4th,No
4th,No
4th,No
4th,Yes
2nd,No
4th,No
4th,No
4th,No
4th,Yes
4th,No
4th,No
4th,No
4th,No
4th,No
4th,No
3rd,No
4th,No
2nd,No
4th,No
4th,Yes
4th,No
4th,No
4th,No
4th,Yes
4th,No
4th,Yes
4th,No
4th,No
4th,No
4th,Yes
3rd,No
4th,No
4th,No
4th,No
4th,No
4th,No
