Do you like hot dogs?,Is a hot dog a sandwich,Feel free to elaborate on your opinion below,Are You an Undergraduate
No,Yes,"if a sandwich is defined as something that has two same layers of material on the side and one/multiple layer of different material in the middle, then a hotdog is a sandwich. However, that definition is not well-defined, because it does not fully descibe all the properties of a sandwich. by the definition, a notebook is a sandwich.",Yes
Yes,Yes,,Yes
Yes,Yes,,Yes
Yes,No,,Yes
Yes,No,,Yes
No,Yes,,Yes
Yes,Yes,,Yes
Yes,Yes,,Yes
Yes,No,,Yes
Yes,Yes,,Yes
Yes,No,That idea just feels wrong,Yes
Yes,No,"sandwich implies there being two pieces of bread. since a bun is just one bread-like device wrapped around the filler, i would argue hotdogs are wraps, not sandwiches",Yes
Yes,No,,Yes
No,Yes,No,Yes
Yes,Yes,,Yes
Yes,Yes,Philly cheesesteaks are sandwiches ,Yes
No,No,because the bread is connected,Yes
Yes,Yes,,Yes
Yes,No,,Yes
Yes,No,,Yes
No,No,,Yes
No,No,,Yes
No,No,,Yes
Yes,Yes,,Yes
Yes,No,,Yes
Yes,Yes,A hotdog technically is a sandwich because it is a piece of meat surrounded by bread. ,Yes
No,Yes,,Yes
Yes,No,,Yes
Yes,No,,Yes
Yes,No,,Yes
Yes,Yes,A sandwich is everything that has a type of meat between two slices of bread,Yes
Yes,Yes,,Yes
Yes,No,,Yes
Yes,No,"Hotdogs, burgers, tacos, wraps are not sandwiches. They are their own type of food lol",Yes
Yes,Yes,,Yes
Yes,No,,Yes
Yes,No,,Yes
No,No,,Yes
Yes,No,Sandwiches have two separate pieces of bread that sandwiches something in the middle. Hotdogs have one piece of bread,Yes
Yes,No,It’s a taco. ,Yes
Yes,Yes,,Yes
Yes,No,,Yes
Yes,Yes,Meat sandwiched between bread. Need I say more.,Yes
Yes,Yes,,Yes
Yes,Yes,,Yes
Yes,No,A hotdog is not included in the sandwich menu of any reputable restaurant,Yes
Yes,Yes,,Yes
Yes,No,"sandwiches are closed, hot dogs have a whole",Yes
Yes,No,"One can remove the hot dog from the bun and it is still a hot dog, while if you remove the contents of a sandwich it is not still a sandwich.",Yes
No,No,The bread pieces - it can’t be connected ,Yes
No,Yes,Anything folded between 2 breads = a type of sandwich :) ,Yes
Yes,Yes,,Yes
Yes,No,,Yes
Yes,No,,Yes
No,No,just vibes ,Yes
No,Yes,,Yes
No,No,,Yes
Yes,No,1. It is sideways and Sammy’s are not 2. You can’t fit anything else between the sides of the bun other than the dog ,Yes
Yes,No,"A sandwich has more meaning culturally than just meat between bread, also I’m a vegetarian so veggie dogs plzzz",Yes
No,No,,Yes
Yes,No,It’s not a sandwich because it’s a hot dog. ,Yes
Yes,Yes,i will not,Yes
Yes,No,"If I was craving a sandwich and you offered to bring me one but you came back with a hotdog, I would be disappointed. ",Yes
No,No,"The set up of a sandwich includes two slices of bread, or really two slices of anything! A hotdog uses a partially sliced roll, with a piece of meat sitting in the partial slice.",Yes
Yes,No,"Hot diggity glizzies are not sandwiches. Sandwiches are traditionally and culturally consumed with two individual slices of bread and meat/veggies/etc between the two. Also, hot diggity glizzies are consumed with the bread oriented vertically on buns, unlike sandwiches that use slices of bread oriented in the horizontal/lateral direction. If anything, a hot dog is a sub. ",Yes
Yes,Yes,Sandwich is pieces of bread with a filling in it. What is hot dog? Bread with something in it. Aka sandwich. One might argue that hot dogs require their own category. Wrong! What makes them so different they need special classification? What would even make them that special? How obsessed do you have to be with them to think of them as separate?? 🤨🤨🤨,Yes
Yes,Yes,goes with hamburgers- another well known sandwich,Yes
No,No,"1) I have never tried a hot dog so I can not truthfully answer the first question 
2) It is clearly a taco bc it has carbs on 3 sides",Yes
Yes,No,It’s a taco ,Yes
No,No,,Yes
Yes,No,,Yes
Yes,No,Hot dogs are still considered hot dogs without the bun. A sandwich isn’t a sandwich without the bread there.,Yes
Yes,No,,Yes
Yes,Yes,"it’s meat sandwiched between 2 pieces of bread, which is the definition of a sandwich.",Yes
Yes,No,"Its one bun, even if the connection is weak, the buns are still connected. Its basically the same as putting a slice of sandwich bread around it. Not a sandwich.",Yes
Yes,No,"A necessary component of being a sandwich is bread. But bread is not a necessary component of being a hot dog; we don't suddenly call it a sausage when it isn't between a piece of bread. Therefore, a hot dog is not a sandwich. QED.",Yes
Yes,Yes,"Due to the nature of hot dog buns as leavened bread encasing the meat, like a gyro, and societal concepts of a “hot dog” as the entire entity of bun + dog + toppings—saying a hot dog isn’t a sandwich is just being pedantic",Yes
Yes,No,,Yes
Yes,No,"I appreciate more of a 3 layer situation in my sandwiches (bread, filling, bread) as opposed to the v-shaped bread with exposed filling in the crevice that characterizes a hot dog.",Yes
Yes,No,They r their own category ,Yes
No,No,If the bun was separate yes but because it is not it is more of a sub than a sandwich. ,Yes
Yes,Yes,,Yes
No,No,,Yes
Yes,No,It’s actually not ,Yes
Yes,Yes,,Yes
Yes,No,The shape is different ,Yes
Yes,No,cuz i don't like sandwiches but im a big fan of hot dogs,Yes
Yes,No,,Yes
Yes,Yes,,Yes
Yes,No,"A sandwich is made of two flat breads, a meat patty, lettuce, cheese, tomato, pickle, and mustard. Hot dog is sausage, not patty, and it’s roll bread, not flat bread. And it puts relish instead of lettuce or pickles. So not a sandwich ",Yes
Yes,Yes,Two pieces of some solid with filling in the middle makes sandwich. An Oreo is a sandwich too.,Yes
Yes,No,,Yes
Yes,No,,Yes
Yes,Yes,sandwich=bread+fillings+sauce,Yes
Yes,No,,Yes
Yes,Yes,,Yes
Yes,Yes,It just is,Yes
Yes,No,Just never viewed it as a sandwich – believe it is in its own category. ,Yes
Yes,No,"Bread is on 3/4 side of hot dog, more of a taco than sandwhich ",Yes
Yes,Yes,"Think of a sub -- a hot dog is merely the protein on the sandwich. You can still add toppings (onions, condiments, cheese) and can grill the meet / toast the buns just like you can a regular sub. A sub is a sandwich, so a hot dog is too.",Yes
Yes,No,just because it is meat in bread doesnt make it a sandwich... like that means a wrap would be a sandwich no its not its a wrap. or a burger is a sandwich no its not its a burger,Yes
Yes,Yes,"it’s meat between bread aka a sandwich, just has a different format than other sandwiches ",Yes
Yes,No,Sandwiches need to have to separate pieces of bread,Yes
Yes,No,Its one piece of bread with a round piece of meat in it. There is no stacking of semi flat ingredients in between 2 pieces of bread ,Yes
Yes,No,"Sandwich (noun): an item of food consisting of two pieces of bread with meat, cheese, or other filling between them, eaten as a light meal.

Hotdog (noun): hot dog; plural noun: hot dogs; noun: hotdog; plural noun: hotdogs
1. a frankfurter, especially one served hot in a long, soft roll and topped with various condiments.
""he's ordering a hot dog""

These definitions were retrieved from the Oxford language dictionary. A hot dog, as described, is a ‘frankfurter served hot in a long roll’. This roll typically is one cut piece of bread, but can also be two independent pieces, which would make a hotdog more sandwich-like. Additionally, it is important to note the distinction between the phrases ‘served in’ and ‘two pieces of bread with meat, cheese, or other filling between them’. The specificity of a hot dog could technically fit into the vague description of a sandwich. However, I would argue that a hot dog’s unique specificity allows it to be regarded as its own entity. A hot dog is ‘served in’ a sliced roll, whereas a sandwich is ‘two pieces of bread with meat, cheese, or other filling between them’. Yes, a hot dog could be served between two pieces of bread, however it is often one sliced roll and, therefore, should be regarded as something independent from a sandwich. Additionally, one who eats a hot dog between two pieces of sliced bread is usually thought of as ‘weird’. Popular opinion often supports this belief (no source). Therefore, a hot dog is not, never has been, and never should be referred to as a sandwich, unless special circumstance requires a hot dog to be listed under the ‘between the buns’ part of a menu. The vagueness of ‘between the buns’ allows for the preservation of a hot dog’s unique specificity.",Yes
No,No,,Yes
Yes,Yes,,Yes
Yes,Yes,There is bread on two sides but it sometimes isnt if the bread is connected on the bottom,Yes
Yes,Yes,"it’s a type of sandwich, like a sub or cheeseburger. ",Yes
No,No,It’s like saying a rectangle can not be a square but a square can be a rectangle. A hot dog can not be a sandwich but a sandwich can be a hotdog 💆🏻‍♀️,Yes
Yes,Yes,,Yes
Yes,No,if you break the bun into 2 then it’s a sandwich,Yes
Yes,Yes,i love hot dogs and i love sandwiches ,Yes
Yes,Yes,,Yes
No,Yes,I classify a sandwich as anything between bread and feel a hotdog falls into that category. ,Yes
Yes,Yes,It’s substance between bread making it a sandwich,Yes
Yes,Yes,,Yes
Yes,No,,Yes
Yes,Yes,"A hot dog is very similar to a meatball sub and other wedges, which are considered sandwiches, therefore a hot dog should be as well.",Yes
Yes,Yes,,Yes
Yes,No,I will not,Yes
Yes,Yes,Meat in between bread. Definition of a sandwich. Hold it whatever way u want,Yes
Yes,Yes,It’s meat between bread. It doesn’t matter whether the bread is connected or not. ,Yes
Yes,No,,Yes
No,Yes,"There’s bread and there’s a main filling (the hot dog) along with optional toppings. If a grilled cheese sandwich is a sandwich, then a hot dog is a sandwich idkkkkkk",Yes
Yes,No,It’s not a sandwich. They don’t sell them at any sandwich places and they don’t look like one,Yes
No,No,i don't have strong opinions on this but i don't like hot dogs and i like regular sandwiches soo 🤷‍♀️,Yes
Yes,Yes,I will eat hot dog without the bread bc of dietary restrictions. But bread and meat equal sandwich to me ,Yes
No,Yes,,Yes
Yes,No,Hot dogs are not sandwiches unless the bun splits into two. Don’t ask me about subs. ,Yes
Yes,No,"A hot dog is ostensibly a taco. The baked apparatus (whether it be made of wheat, rye, or corn [in the case of a taco]) is folded around three sides of the interior material. Any who break the lower region of the bun may argue that two sides are covered, and therefore the hot dog is a sand which. But they are objectively wrong to do so because the required and honest method of eating said delicacy involves resting the dog within a three sided pocket of bread. Either a hot dog is a taco or a taco is a hot dog. I will entertain no further discussion.",Yes
Yes,No,"A sandwich is defined as meat in between bread like substance, correct? Yes but not 100% the true. Not all meat in between bread is considered a sandwich. The reason is of the way the bread surrounds the hot dog. If we view the world in an xyz coordinate plane with x being left to right, y bring forward and backward, and z being up and down, you’ll see that in a sand which the bread and meat exist in the xy plane, and lay flat on top of each other. However with a hotdog, the traditional way of forming a hotdog has the format in the yz plane. Another important aspect to look into is the intersection between planes. A sand which will have its layers confined, and the bread will never be fully on the same point in the z axis with the meat. Here are some of my examples to back up: 

Do u call a burrito a sandwich (meat between bread like substance right??) hell fucking no u don’t, and look how the bread and meat exist together in the z axis, something that should not happen. ",Yes
Yes,No,,Yes
