"timestamp","hotdog.is.sandwich","reason","undergrad.or.grad","major","year","state.or.country"
2024-01-18 14:18:57,"no","if you asked for a sandwich and someone gave you a hotdog you’d be confused","undergraduate","systems engineering","fourth year","virginia"
2024-01-18 14:19:43,"no",NA,"graduate",NA,NA,NA
2024-01-18 14:20:51,"no","society doesn’t view it that way","undergraduate","computer science","third year","united states"
2024-01-18 14:21:09,"no","if a sandwich has meat in it, it is sliced. a hot dog's wiener is not sliced within the hot dog. therefore, a hot dog is not a sandwich.","undergraduate","astronomy-physics","fourth year","new york"
2024-01-18 14:22:38,"yes","merriam webster dictionary definition of sandwich","undergraduate","computer science","fourth year","virginia, united states"
2024-01-18 14:22:54,"no","if i asked for a sandwich and somebody gave me a hot dog i would be sad","undergraduate","media studies","third year","virginia"
2024-01-18 14:23:16,"no","there is only one piece of bread holding the hotdog, whereas typical sandwiches have their filling contained between two pieces of bread.","undergraduate","biomedical engineering","fourth year","ca, usa"
2024-01-18 14:23:23,"no",NA,"undergraduate","cognitive science","fourth year","maryland"
2024-01-18 14:23:41,"no",NA,"undergraduate","cs","fourth year","virginia"
2024-01-18 14:24:05,"no","no sandwhich shops sell hot dogs","undergraduate","econ","third year","virginia"
2024-01-18 14:25:03,"no","a hot dog is its own type of food","undergraduate","kinesiology","fourth year","virginia"
2024-01-18 14:26:16,"no","it simply isn't. like. be so real.","undergraduate","english and psychology","fourth year","spain technically but i am not from there. american"
2024-01-18 14:26:51,"no","sometimes people try and get to philosophical or in depth about these conversations but i am just operated off of vibes. when i think of a sandwich a hot dog does not cross my mind","undergraduate","government + philosophy","third year","virginia"
2024-01-18 14:27:17,"yes","meat between bread","undergraduate","politics","third year","maryland"
2024-01-18 14:27:56,"no","it’s one piece of bread. it’s closer to a burrito than a sandwich","undergraduate","commerce and foreign affairs","third year","oklahoma, usa"
2024-01-18 14:29:34,"no","a hot dog is considered a hot dog regardless of whether there is bread or not; the presence of bread is essential to the labeling of something as a sandwich; thus a hot dog is not a sandwich","undergraduate","psychology","fourth year","pennsylvania"
2024-01-18 14:33:41,"no","a hotdog falls into its own beautiful category. when discussing the physical nature of a sandwich, the meat and/or other fillings are completely covered top and bottom by the bread, while a hotdog has an open top. but if you are talking about the emotional aspect, then a sandwich can in no way create the joy and wonder that comes from eating a good hotdog. need i say more?","undergraduate","psychology","fourth year","virginia"
