Is Hotdog a Sandwhich ,Year,Where are you from 
No,Fourth-Year ,NOVA 
No,Fourth-Year ,Not Available 
No,Fourth-Year ,NOVA 
No,Fourth-Year ,NOVA 
No,Fourth-Year ,Houston
No,Fourth-Year ,Vienna
No,Fourth-Year ,Virginia
No,Fourth-Year ,Arlington
No,Fourth-Year ,San Francisco 
No,Fourth-Year ,New Jersey
No,Fourth-Year ,Not Available
Yes ,Second-Year ,NOVA 
No,Fourth-Year ,Virginia
Yes ,Fourth-Year ,Not Available
No,Fourth-Year ,Richmond
No,Fourth-Year ,Texas
No,Fourth-Year ,Arlington
No,Fourth-Year ,Not Available
Yes ,Fourth-Year ,Massachusetts
No,Fourth-Year ,Long Island
Yes ,Fourth-Year ,New York
No,Fourth-Year ,Georgia
No,Fourth-Year ,San Francisco
No,Fourth-Year ,Connecticut
No,Fourth-Year ,Not Available 
No,Fourth-Year ,Chesapeake
No,Fourth-Year ,Virginia
No,Fourth-Year ,New York 
No,Fourth-Year ,Atlanta
No,Fourth-Year ,NOVA 
No,Fourth-Year ,Not Available
No,Fourth-Year ,Los Angeles
No,Fourth-Year ,Philadelphia
No,Fourth-Year ,McLean 
No,Graduate Student,Leesburg
No,Third-Year,NOVA 
No,Third-Year,Charlottesville
No,Fourth-Year ,Pennsylvania 
No,Second-Year ,Staunton
No,Fourth-Year ,Boston 
No,Third-Year,Virginia
No,Third-Year,Virginia Beach
No,Third-Year,Chantilly
No,Fourth-Year ,Virginia
No,Fourth-Year ,Fairfax
No,Fourth-Year ,New York 
No,Fourth-Year ,Poop Creek
No,Third-Year,Aldie
No,Second-Year ,NOVA 
No,Third-Year,Charlottesville
No,Third-Year,NOVA 
No,Fourth-Year ,Virginia
No,Fourth-Year ,Not Available
No,Fourth-Year ,New York
No,Fourth-Year ,Tennessee
No,Fourth-Year ,Austin
No,Second-Year ,New York 
Yes ,Third-Year,Not Available
No,Fourth-Year ,Virginia Beach
Yes ,Fourth-Year ,Virginia
No,Fourth-Year ,New York
No,Fourth-Year ,Virginia
Yes ,Second-Year ,Princeton
No,Fourth-Year ,Charlottesville 
No,Third-Year,Boston
No,Third-Year,Cincinnati 
No,Graduate Student,NOVA 
No,Fourth-Year ,Richmond 
No,Fourth-Year ,Seattle
No,Third-Year,NOVA
Yes ,Third-Year,NOVA 
No,Fourth-Year ,Staunton
No,Second-Year ,Williamsburg
Yes ,Third-Year,Reston
No,Second-Year ,Springfield
Yes ,Second-Year ,Blacksburg
Yes ,Graduate Student,NOVA 
No,Third-Year,Chantilly
No,Second-Year ,Not Available 
Yes ,Fourth-Year ,NOVA 
Yes ,Second-Year ,Richmond 
Yes ,Second-Year ,NOVA 
Yes ,Third-Year,NOVA 
No,Fourth-Year ,Not Available 
Yes ,Fourth-Year ,Florida
No,Fourth-Year ,Williamsburg
No,Fourth-Year ,Not Available
No,Fourth-Year ,Scottsdale
Yes ,Fourth-Year ,Williamsburg
No,Fourth-Year ,Virginia
Yes ,Fourth-Year ,Washington D.C.
Yes ,Fourth-Year ,Charlottesville
Yes ,Fourth-Year ,Boston
No,Fourth-Year ,Richmond
No,Fourth-Year ,Guayaquil
Yes ,Fourth-Year ,Virginia
Yes ,Fourth-Year ,Ashburn
Yes ,Fourth-Year ,Williamsburg
Yes ,Fourth-Year ,Charlotte
Yes ,Fourth-Year ,D.C.
No,Fourth-Year ,Not Available
