Timestamp,Are you a full-time undergraduate UVA student?,What year are you?,Do you believe a hotdog is a sandwich?
1/14/2026 14:54:44,Yes,3rd,No
1/14/2026 14:55:14,Yes,4th,No
1/14/2026 14:56:49,Yes,4th,No
1/14/2026 14:58:15,Yes,4th,Yes
1/14/2026 14:58:25,Yes,4th,Yes
1/14/2026 14:58:27,Yes,4th,Yes
1/14/2026 14:58:31,Yes,3rd,Yes
1/14/2026 15:02:11,Yes,3rd,No
1/14/2026 15:02:11,Yes,3rd,No
1/14/2026 15:02:19,Yes,4th,Yes
1/14/2026 15:02:21,Yes,4th,No
1/14/2026 15:02:28,Yes,2nd,No
1/14/2026 15:02:38,No,4th,No
1/14/2026 15:03:19,Yes,2nd,No
1/14/2026 15:03:34,Yes,2nd,No
1/14/2026 15:03:36,Yes,4th,No
1/14/2026 15:04:39,Yes,3rd,No
1/14/2026 15:05:29,Yes,3rd,No
1/14/2026 15:10:35,Yes,4th,No
1/14/2026 15:12:15,Yes,4th,No
1/14/2026 15:14:01,Yes,2nd,No
1/14/2026 15:17:17,Yes,2nd,No
1/14/2026 15:17:34,Yes,4th,Yes
1/14/2026 15:20:57,Yes,4th,No
1/14/2026 15:21:43,Yes,4th,No
1/14/2026 15:28:13,Yes,4th,No
1/14/2026 15:28:25,Yes,4th,No
1/14/2026 15:34:58,Yes,4th,Yes
1/14/2026 15:39:52,Yes,3rd,No
1/14/2026 15:44:11,Yes,4th,Yes
1/14/2026 15:50:26,Yes,2nd,Yes
1/14/2026 15:50:44,Yes,4th,No
1/14/2026 15:53:59,Yes,4th,Yes
1/14/2026 15:58:58,Yes,2nd,No
1/14/2026 16:06:04,Yes,4th,Yes
1/14/2026 16:09:44,Yes,2nd,No
1/14/2026 16:09:51,No,4th,No
1/14/2026 16:10:18,Yes,4th,No
1/14/2026 16:14:01,Yes,4th,No
1/14/2026 16:21:13,Yes,3rd,Yes
1/14/2026 16:26:22,Yes,2nd,No
1/14/2026 16:27:56,Yes,4th,No
1/14/2026 16:35:33,Yes,4th,No
1/14/2026 16:51:46,Yes,4th,No
1/14/2026 17:00:12,Yes,4th,No
1/14/2026 17:06:45,Yes,4th,Yes
1/14/2026 17:08:01,Yes,2nd,No
1/14/2026 17:09:07,Yes,4th,No
1/14/2026 17:14:08,Yes,4th,No
1/14/2026 17:26:46,Yes,4th,No
1/14/2026 17:27:54,Yes,4th,Yes
1/14/2026 17:28:19,Yes,4th,No
1/14/2026 17:35:55,Yes,4th,No
1/14/2026 17:43:56,Yes,4th,No
1/14/2026 18:10:12,Yes,4th,No
1/14/2026 18:13:24,Yes,4th,No
1/14/2026 18:23:24,Yes,4th,No
1/14/2026 18:35:44,Yes,3rd,No
1/14/2026 18:39:22,Yes,4th,No
1/14/2026 19:39:40,Yes,2nd,No
1/14/2026 21:38:33,Yes,4th,No
1/14/2026 21:38:58,No,3rd,Yes
1/14/2026 22:16:42,Yes,4th,Yes
1/14/2026 22:27:14,Yes,4th,No
1/14/2026 23:47:52,Yes,4th,No
1/14/2026 23:48:02,Yes,4th,No
1/14/2026 23:48:09,Yes,4th,Yes
1/14/2026 23:48:17,Yes,4th,No
1/15/2026 10:32:16,Yes,4th,Yes
1/15/2026 10:48:47,Yes,4th,No
1/15/2026 10:54:45,Yes,4th,No
1/15/2026 12:06:44,Yes,4th,No
1/15/2026 15:14:34,Yes,4th,Yes
1/15/2026 20:25:00,Yes,3rd,No
1/16/2026 0:10:16,Yes,4th,No
1/16/2026 0:10:44,Yes,4th,No
1/16/2026 1:05:27,Yes,4th,No
1/16/2026 10:40:10,Yes,4th,No
1/16/2026 10:59:34,Yes,4th,No
