Timestamp,Are you a full-time undergraduate UVA student?,What year are you?,Do you believe a hotdog is a sandwich?
1/14/2026 14:54,Yes,3rd,No
1/14/2026 14:55,Yes,4th,No
1/14/2026 14:56,Yes,4th,No
1/14/2026 14:58,Yes,4th,Yes
1/14/2026 14:58,Yes,4th,Yes
1/14/2026 14:58,Yes,4th,Yes
1/14/2026 14:58,Yes,3rd,Yes
1/14/2026 15:02,Yes,3rd,No
1/14/2026 15:02,Yes,3rd,No
1/14/2026 15:02,Yes,4th,Yes
1/14/2026 15:02,Yes,4th,No
1/14/2026 15:02,Yes,2nd,No
1/14/2026 15:02,No,4th,No
1/14/2026 15:03,Yes,2nd,No
1/14/2026 15:03,Yes,2nd,No
1/14/2026 15:03,Yes,4th,No
1/14/2026 15:04,Yes,3rd,No
1/14/2026 15:05,Yes,3rd,No
1/14/2026 15:10,Yes,4th,No
1/14/2026 15:12,Yes,4th,No
1/14/2026 15:14,Yes,2nd,No
1/14/2026 15:17,Yes,2nd,No
1/14/2026 15:17,Yes,4th,Yes
1/14/2026 15:20,Yes,4th,No
1/14/2026 15:21,Yes,4th,No
1/14/2026 15:28,Yes,4th,No
1/14/2026 15:28,Yes,4th,No
1/14/2026 15:34,Yes,4th,Yes
1/14/2026 15:39,Yes,3rd,No
1/14/2026 15:44,Yes,4th,Yes
1/14/2026 15:50,Yes,2nd,Yes
1/14/2026 15:50,Yes,4th,No
1/14/2026 15:53,Yes,4th,Yes
1/14/2026 15:58,Yes,2nd,No
1/14/2026 16:06,Yes,4th,Yes
1/14/2026 16:09,Yes,2nd,No
1/14/2026 16:09,No,4th,No
1/14/2026 16:10,Yes,4th,No
1/14/2026 16:14,Yes,4th,No
1/14/2026 16:21,Yes,3rd,Yes
1/14/2026 16:26,Yes,2nd,No
1/14/2026 16:27,Yes,4th,No
1/14/2026 16:35,Yes,4th,No
1/14/2026 16:51,Yes,4th,No
1/14/2026 17:00,Yes,4th,No
1/14/2026 17:06,Yes,4th,Yes
1/14/2026 17:08,Yes,2nd,No
1/14/2026 17:09,Yes,4th,No
1/14/2026 17:14,Yes,4th,No
1/14/2026 17:26,Yes,4th,No
1/14/2026 17:27,Yes,4th,Yes
1/14/2026 17:28,Yes,4th,No
1/14/2026 17:35,Yes,4th,No
1/14/2026 17:43,Yes,4th,No
1/14/2026 18:10,Yes,4th,No
1/14/2026 18:13,Yes,4th,No
1/14/2026 18:23,Yes,4th,No
1/14/2026 18:35,Yes,3rd,No
1/14/2026 18:39,Yes,4th,No
1/14/2026 19:39,Yes,2nd,No
1/14/2026 21:38,Yes,4th,No
1/14/2026 21:38,No,3rd,Yes
1/14/2026 22:16,Yes,4th,Yes
1/14/2026 22:27,Yes,4th,No
1/14/2026 23:47,Yes,4th,No
1/14/2026 23:48,Yes,4th,No
1/14/2026 23:48,Yes,4th,Yes
1/14/2026 23:48,Yes,4th,No
1/15/2026 10:32,Yes,4th,Yes
1/15/2026 10:48,Yes,4th,No
1/15/2026 10:54,Yes,4th,No
1/15/2026 12:06,Yes,4th,No
1/15/2026 15:14,Yes,4th,Yes
1/15/2026 20:25,Yes,3rd,No
1/16/2026 0:10,Yes,4th,No
1/16/2026 0:10,Yes,4th,No
1/16/2026 1:05,Yes,4th,No
1/16/2026 10:40,Yes,4th,No
1/16/2026 10:59,Yes,4th,No
