participant_id,source_file,survey_term,source_row,hotdog_is_sandwich
fall-2022-0001,DS-4002-fa22-survey-results.xlsx,Fall 2022,1,Yes
fall-2022-0002,DS-4002-fa22-survey-results.xlsx,Fall 2022,2,No
fall-2022-0003,DS-4002-fa22-survey-results.xlsx,Fall 2022,3,No
fall-2022-0004,DS-4002-fa22-survey-results.xlsx,Fall 2022,4,No
fall-2022-0005,DS-4002-fa22-survey-results.xlsx,Fall 2022,5,No
fall-2022-0006,DS-4002-fa22-survey-results.xlsx,Fall 2022,6,Yes
fall-2022-0007,DS-4002-fa22-survey-results.xlsx,Fall 2022,7,Yes
fall-2022-0008,DS-4002-fa22-survey-results.xlsx,Fall 2022,8,No
fall-2022-0009,DS-4002-fa22-survey-results.xlsx,Fall 2022,9,No
fall-2022-0010,DS-4002-fa22-survey-results.xlsx,Fall 2022,10,No
fall-2022-0011,DS-4002-fa22-survey-results.xlsx,Fall 2022,11,No
fall-2022-0012,DS-4002-fa22-survey-results.xlsx,Fall 2022,12,No
fall-2022-0013,DS-4002-fa22-survey-results.xlsx,Fall 2022,13,No
fall-2022-0014,DS-4002-fa22-survey-results.xlsx,Fall 2022,14,No
fall-2022-0015,DS-4002-fa22-survey-results.xlsx,Fall 2022,15,No
fall-2022-0016,DS-4002-fa22-survey-results.xlsx,Fall 2022,16,No
fall-2022-0017,DS-4002-fa22-survey-results.xlsx,Fall 2022,17,No
fall-2022-0018,DS-4002-fa22-survey-results.xlsx,Fall 2022,18,No
fall-2022-0019,DS-4002-fa22-survey-results.xlsx,Fall 2022,19,No
fall-2022-0020,DS-4002-fa22-survey-results.xlsx,Fall 2022,20,No
fall-2022-0021,DS-4002-fa22-survey-results.xlsx,Fall 2022,21,No
fall-2022-0022,DS-4002-fa22-survey-results.xlsx,Fall 2022,22,Yes
fall-2022-0023,DS-4002-fa22-survey-results.xlsx,Fall 2022,23,No
fall-2022-0024,DS-4002-fa22-survey-results.xlsx,Fall 2022,24,No
fall-2022-0025,DS-4002-fa22-survey-results.xlsx,Fall 2022,25,No
fall-2022-0026,DS-4002-fa22-survey-results.xlsx,Fall 2022,26,No
fall-2022-0027,DS-4002-fa22-survey-results.xlsx,Fall 2022,27,Yes
fall-2022-0028,DS-4002-fa22-survey-results.xlsx,Fall 2022,28,No
fall-2022-0029,DS-4002-fa22-survey-results.xlsx,Fall 2022,29,Yes
fall-2022-0030,DS-4002-fa22-survey-results.xlsx,Fall 2022,30,No
fall-2022-0031,DS-4002-fa22-survey-results.xlsx,Fall 2022,31,No
fall-2022-0032,DS-4002-fa22-survey-results.xlsx,Fall 2022,32,No
fall-2022-0033,DS-4002-fa22-survey-results.xlsx,Fall 2022,33,Yes
fall-2022-0034,DS-4002-fa22-survey-results.xlsx,Fall 2022,34,No
fall-2022-0035,DS-4002-fa22-survey-results.xlsx,Fall 2022,35,No
fall-2022-0036,DS-4002-fa22-survey-results.xlsx,Fall 2022,36,No
fall-2022-0037,DS-4002-fa22-survey-results.xlsx,Fall 2022,37,Yes
fall-2022-0038,DS-4002-fa22-survey-results.xlsx,Fall 2022,38,Yes
fall-2022-0039,DS-4002-fa22-survey-results.xlsx,Fall 2022,39,No
fall-2022-0040,DS-4002-fa22-survey-results.xlsx,Fall 2022,40,Yes
fall-2022-0041,DS-4002-fa22-survey-results.xlsx,Fall 2022,41,No
fall-2022-0042,DS-4002-fa22-survey-results.xlsx,Fall 2022,42,No
fall-2022-0043,DS-4002-fa22-survey-results.xlsx,Fall 2022,43,Yes
fall-2022-0044,DS-4002-fa22-survey-results.xlsx,Fall 2022,44,Yes
fall-2022-0045,DS-4002-fa22-survey-results.xlsx,Fall 2022,45,Yes
fall-2022-0046,DS-4002-fa22-survey-results.xlsx,Fall 2022,46,No
fall-2022-0047,DS-4002-fa22-survey-results.xlsx,Fall 2022,47,No
fall-2022-0048,DS-4002-fa22-survey-results.xlsx,Fall 2022,48,No
fall-2022-0049,DS-4002-fa22-survey-results.xlsx,Fall 2022,49,Yes
fall-2022-0050,DS-4002-fa22-survey-results.xlsx,Fall 2022,50,No
fall-2022-0051,DS-4002-fa22-survey-results.xlsx,Fall 2022,51,Yes
fall-2022-0052,DS-4002-fa22-survey-results.xlsx,Fall 2022,52,Yes
fall-2022-0053,DS-4002-fa22-survey-results.xlsx,Fall 2022,53,No
fall-2022-0054,DS-4002-fa22-survey-results.xlsx,Fall 2022,54,Yes
fall-2022-0055,DS-4002-fa22-survey-results.xlsx,Fall 2022,55,No
fall-2022-0056,DS-4002-fa22-survey-results.xlsx,Fall 2022,56,No
fall-2022-0057,DS-4002-fa22-survey-results.xlsx,Fall 2022,57,Yes
fall-2022-0058,DS-4002-fa22-survey-results.xlsx,Fall 2022,58,No
fall-2022-0059,DS-4002-fa22-survey-results.xlsx,Fall 2022,59,No
fall-2022-0060,DS-4002-fa22-survey-results.xlsx,Fall 2022,60,No
fall-2022-0061,DS-4002-fa22-survey-results.xlsx,Fall 2022,61,No
fall-2022-0062,DS-4002-fa22-survey-results.xlsx,Fall 2022,62,No
fall-2022-0063,DS-4002-fa22-survey-results.xlsx,Fall 2022,63,No
fall-2022-0064,DS-4002-fa22-survey-results.xlsx,Fall 2022,64,No
fall-2022-0065,DS-4002-fa22-survey-results.xlsx,Fall 2022,65,Yes
fall-2022-0066,DS-4002-fa22-survey-results.xlsx,Fall 2022,66,Yes
fall-2022-0067,DS-4002-fa22-survey-results.xlsx,Fall 2022,67,Yes
fall-2022-0068,DS-4002-fa22-survey-results.xlsx,Fall 2022,68,Yes
fall-2022-0069,DS-4002-fa22-survey-results.xlsx,Fall 2022,69,No
fall-2022-0070,DS-4002-fa22-survey-results.xlsx,Fall 2022,70,No
fall-2022-0071,DS-4002-fa22-survey-results.xlsx,Fall 2022,71,Yes
fall-2022-0072,DS-4002-fa22-survey-results.xlsx,Fall 2022,72,No
fall-2022-0073,DS-4002-fa22-survey-results.xlsx,Fall 2022,73,No
fall-2022-0074,DS-4002-fa22-survey-results.xlsx,Fall 2022,74,Yes
fall-2022-0075,DS-4002-fa22-survey-results.xlsx,Fall 2022,75,Yes
fall-2022-0076,DS-4002-fa22-survey-results.xlsx,Fall 2022,76,No
fall-2022-0077,DS-4002-fa22-survey-results.xlsx,Fall 2022,77,Yes
fall-2022-0078,DS-4002-fa22-survey-results.xlsx,Fall 2022,78,No
fall-2022-0079,DS-4002-fa22-survey-results.xlsx,Fall 2022,79,Yes
fall-2022-0080,DS-4002-fa22-survey-results.xlsx,Fall 2022,80,Yes
fall-2022-0081,DS-4002-fa22-survey-results.xlsx,Fall 2022,81,Yes
fall-2022-0082,DS-4002-fa22-survey-results.xlsx,Fall 2022,82,Yes
fall-2022-0083,DS-4002-fa22-survey-results.xlsx,Fall 2022,83,Yes
fall-2022-0084,DS-4002-fa22-survey-results.xlsx,Fall 2022,84,Yes
fall-2022-0085,DS-4002-fa22-survey-results.xlsx,Fall 2022,85,No
fall-2022-0086,DS-4002-fa22-survey-results.xlsx,Fall 2022,86,No
fall-2022-0087,DS-4002-fa22-survey-results.xlsx,Fall 2022,87,No
fall-2022-0088,DS-4002-fa22-survey-results.xlsx,Fall 2022,88,No
fall-2022-0089,DS-4002-fa22-survey-results.xlsx,Fall 2022,89,Yes
fall-2022-0090,DS-4002-fa22-survey-results.xlsx,Fall 2022,90,Yes
fall-2022-0091,DS-4002-fa22-survey-results.xlsx,Fall 2022,91,No
fall-2022-0092,DS-4002-fa22-survey-results.xlsx,Fall 2022,92,Yes
fall-2022-0093,DS-4002-fa22-survey-results.xlsx,Fall 2022,93,No
fall-2022-0094,DS-4002-fa22-survey-results.xlsx,Fall 2022,94,No
