Id,Start time,Completion time,Email,Name,Is a hotdog a sandwich,Are you a UVA undergraduate student,What is your major?
1,9/1/2024 11:27,9/1/2024 11:27,anonymous,,No,Yes,Psych
2,9/1/2024 11:27,9/1/2024 11:27,anonymous,,No,Yes,"Math, concentration in probability and statistics"
3,9/1/2024 11:27,9/1/2024 11:27,anonymous,,No,Yes,Systems Engineering 
4,9/1/2024 11:27,9/1/2024 11:28,anonymous,,No,Yes,CS+Math
5,9/1/2024 11:27,9/1/2024 11:28,anonymous,,No,Yes,wgs and History
6,9/1/2024 11:28,9/1/2024 11:29,anonymous,,Yes,Yes,Mechanical Engineering & Math with a minor in hotdog studies
7,9/1/2024 11:29,9/1/2024 11:29,anonymous,,No,Yes,Drama/Creative Writing 
8,9/1/2024 11:30,9/1/2024 11:30,anonymous,,Yes,Yes,Architecture 
9,9/1/2024 11:31,9/1/2024 11:31,anonymous,,No,Yes,Economics
10,9/1/2024 11:32,9/1/2024 11:32,anonymous,,Yes,Yes,Media Studies
11,9/1/2024 11:36,9/1/2024 11:37,anonymous,,No,Yes,Economics
12,9/1/2024 11:41,9/1/2024 11:41,anonymous,,Yes,Yes,Biology
13,9/1/2024 11:49,9/1/2024 11:49,anonymous,,Yes,Yes,Media Studies
14,9/1/2024 11:49,9/1/2024 11:49,anonymous,,No,Yes,Mechanical Engineering
15,9/1/2024 11:58,9/1/2024 11:58,anonymous,,No,Yes,
16,9/1/2024 12:17,9/1/2024 12:17,anonymous,,No,Yes,chemical engineering
17,9/1/2024 12:17,9/1/2024 12:17,anonymous,,No,Yes,wouldnt you like to know weather boy
18,9/1/2024 12:37,9/1/2024 12:39,anonymous,,Yes,Yes,Mathematics
19,9/1/2024 12:43,9/1/2024 12:45,anonymous,,No,Yes,arch
20,9/1/2024 12:49,9/1/2024 12:49,anonymous,,No,Yes,
21,9/1/2024 12:52,9/1/2024 12:52,anonymous,,No,Yes,Computer Science
22,9/1/2024 13:35,9/1/2024 13:36,anonymous,,No,Yes,Undeclared
23,9/1/2024 20:10,9/1/2024 20:10,anonymous,,Yes,Yes,Civil Engineering
24,9/1/2024 20:10,9/1/2024 20:10,anonymous,,Yes,Yes,Computer Science
25,9/1/2024 20:10,9/1/2024 20:11,anonymous,,No,Yes,Biology
26,9/1/2024 20:12,9/1/2024 20:12,anonymous,,No,Yes,Global Studies
27,9/1/2024 20:30,9/1/2024 20:30,anonymous,,Yes,Yes,CS
28,9/1/2024 20:30,9/1/2024 20:32,anonymous,,Yes,Yes,Behavioral Neuroscience
29,9/1/2024 20:33,9/1/2024 20:34,anonymous,,Yes,Yes,Economics and Politics
30,9/2/2024 10:17,9/2/2024 10:18,anonymous,,Yes,No,physics
31,9/2/2024 11:00,9/2/2024 11:01,anonymous,,Yes,Yes,Economics
32,9/2/2024 11:01,9/2/2024 11:01,anonymous,,No,Yes,Economics
33,9/2/2024 11:01,9/2/2024 11:01,anonymous,,No,Yes,Behavioral Neuroscience 
34,9/2/2024 11:02,9/2/2024 11:02,anonymous,,Yes,Yes,Biomedical Engineering
35,9/2/2024 11:01,9/2/2024 11:02,anonymous,,No,Yes,Computer Science
36,9/2/2024 11:46,9/2/2024 11:46,anonymous,,No,Yes,Economics 
37,9/2/2024 11:46,9/2/2024 11:46,anonymous,,No,Yes,Computer Science
38,9/2/2024 11:46,9/2/2024 11:46,anonymous,,No,Yes,Economics
39,9/2/2024 11:46,9/2/2024 11:46,anonymous,,Yes,Yes,Economics
40,9/2/2024 11:46,9/2/2024 11:46,anonymous,,No,Yes,Media studies 
41,9/2/2024 11:46,9/2/2024 11:46,anonymous,,No,Yes,cs
42,9/2/2024 11:46,9/2/2024 11:46,anonymous,,Yes,Yes,Psychology 
43,9/2/2024 11:46,9/2/2024 11:46,anonymous,,No,Yes,Statistics
44,9/2/2024 11:46,9/2/2024 11:46,anonymous,,Yes,Yes,Civil Engineering 
45,9/2/2024 11:46,9/2/2024 11:46,anonymous,,Yes,Yes,American Studies
46,9/2/2024 11:46,9/2/2024 11:46,anonymous,,No,Yes,Computer Science
47,9/2/2024 11:46,9/2/2024 11:46,anonymous,,No,Yes,Computer Science
48,9/2/2024 11:46,9/2/2024 11:46,anonymous,,No,Yes,Computer Science
49,9/2/2024 11:46,9/2/2024 11:47,anonymous,,Yes,Yes,Computer Science
50,9/2/2024 11:46,9/2/2024 11:47,anonymous,,No,Yes,Systems Engineering
51,9/2/2024 11:46,9/2/2024 11:47,anonymous,,No,Yes,Environmental Science 
52,9/2/2024 11:46,9/2/2024 11:47,anonymous,,Yes,Yes,Systems Engineering
53,9/2/2024 11:46,9/2/2024 11:47,anonymous,,No,Yes,Systems Engineering
54,9/2/2024 11:46,9/2/2024 11:47,anonymous,,No,Yes,Cognitive Science 
55,9/2/2024 11:47,9/2/2024 11:47,anonymous,,No,Yes,Econ
56,9/2/2024 11:47,9/2/2024 11:47,anonymous,,No,Yes,Systems Engineering
57,9/2/2024 11:47,9/2/2024 11:47,anonymous,,No,Yes,neuroscience
58,9/2/2024 11:46,9/2/2024 11:47,anonymous,,No,Yes,Computer Science’s 
59,9/2/2024 11:47,9/2/2024 11:47,anonymous,,Yes,Yes,Nursing
60,9/2/2024 11:47,9/2/2024 11:47,anonymous,,No,Yes,Computer Science
61,9/2/2024 11:46,9/2/2024 11:47,anonymous,,No,Yes,Cognitive Science 
62,9/2/2024 11:46,9/2/2024 11:47,anonymous,,No,Yes,Computer Science
63,9/2/2024 11:47,9/2/2024 11:47,anonymous,,No,Yes,Biomedical Engineering 
64,9/2/2024 11:47,9/2/2024 11:47,anonymous,,Yes,Yes,Neuroscience
65,9/2/2024 11:47,9/2/2024 11:47,anonymous,,No,Yes,Biomedical engineering
66,9/2/2024 11:47,9/2/2024 11:47,anonymous,,No,Yes,Commerce
67,9/2/2024 11:47,9/2/2024 11:47,anonymous,,Yes,Yes,Nursing 
68,9/2/2024 11:48,9/2/2024 11:48,anonymous,,No,Yes,cs
69,9/2/2024 11:47,9/2/2024 11:48,anonymous,,Yes,Yes,Commerce
70,9/2/2024 11:48,9/2/2024 11:48,anonymous,,No,Yes,Neuroscience 
71,9/2/2024 11:48,9/2/2024 11:48,anonymous,,Yes,Yes,Econ
72,9/2/2024 11:47,9/2/2024 11:49,anonymous,,No,Yes,Cognitive Science 
73,9/2/2024 11:47,9/2/2024 11:49,anonymous,,No,Yes,biology 
74,9/2/2024 11:49,9/2/2024 11:49,anonymous,,No,Yes,English 
75,9/2/2024 11:49,9/2/2024 11:49,anonymous,,Yes,Yes,Computer Science
76,9/2/2024 11:49,9/2/2024 11:50,anonymous,,No,Yes,Economics 
77,9/2/2024 11:50,9/2/2024 11:50,anonymous,,Yes,Yes,Public Policy and Leadership
78,9/2/2024 11:50,9/2/2024 11:50,anonymous,,Yes,Yes,Data Science
79,9/2/2024 11:50,9/2/2024 11:50,anonymous,,No,Yes,Cs
80,9/2/2024 11:50,9/2/2024 11:50,anonymous,,Yes,Yes,Computer science
81,9/2/2024 11:50,9/2/2024 11:50,anonymous,,Yes,Yes,Computer Science
82,9/2/2024 11:50,9/2/2024 11:50,anonymous,,No,Yes,Data science
83,9/2/2024 11:50,9/2/2024 11:51,anonymous,,Yes,Yes,Aerospace Engineering 
84,9/2/2024 11:52,9/2/2024 11:52,anonymous,,No,Yes,Commerce
85,9/2/2024 11:52,9/2/2024 11:52,anonymous,,No,Yes,Computer
86,9/2/2024 11:52,9/2/2024 11:53,anonymous,,No,Yes,Biology
87,9/2/2024 11:54,9/2/2024 11:54,anonymous,,No,Yes,computer engineering 
88,9/2/2024 11:54,9/2/2024 11:54,anonymous,,Yes,Yes,Mechanical engineering 
89,9/2/2024 11:54,9/2/2024 11:54,anonymous,,No,Yes,Cs
90,9/2/2024 11:54,9/2/2024 11:54,anonymous,,No,Yes,Public policy
91,9/2/2024 11:54,9/2/2024 11:55,anonymous,,No,Yes,Computer Science & Economics
92,9/2/2024 11:55,9/2/2024 11:55,anonymous,,Yes,No,Mechanical and Aerospace Engineering
93,9/2/2024 11:55,9/2/2024 11:55,anonymous,,No,Yes,Public policy 
94,9/2/2024 11:56,9/2/2024 11:57,anonymous,,No,Yes,Electrical engineering
95,9/2/2024 11:47,9/2/2024 11:58,anonymous,,No,Yes,Statistics 
96,9/2/2024 11:58,9/2/2024 11:58,anonymous,,No,Yes,Religious Studies
97,9/2/2024 11:58,9/2/2024 11:59,anonymous,,No,Yes,Psychology
98,9/2/2024 11:59,9/2/2024 11:59,anonymous,,No,Yes,"Finance & Accounting, Italian"
99,9/2/2024 11:59,9/2/2024 12:00,anonymous,,No,Yes,Mathematics 
100,9/2/2024 12:00,9/2/2024 12:00,anonymous,,No,Yes,Foreign Affairs
101,9/2/2024 12:01,9/2/2024 12:01,anonymous,,Yes,Yes,Biomedical Engineering
102,9/2/2024 12:03,9/2/2024 12:03,anonymous,,No,Yes,Neuroscience
103,9/2/2024 12:04,9/2/2024 12:05,anonymous,,No,Yes,Biology
104,9/2/2024 12:05,9/2/2024 12:06,anonymous,,No,Yes,"Art History, Cognitive Science"
105,9/2/2024 12:06,9/2/2024 12:06,anonymous,,No,Yes,Cognitive Science
106,9/2/2024 12:08,9/2/2024 12:08,anonymous,,Yes,Yes,CS
107,9/2/2024 12:10,9/2/2024 12:10,anonymous,,No,Yes,Media studies 
108,9/2/2024 12:11,9/2/2024 12:12,anonymous,,No,Yes,computer science 
109,9/2/2024 12:14,9/2/2024 12:14,anonymous,,Yes,Yes,Public Policy
110,9/2/2024 12:15,9/2/2024 12:15,anonymous,,No,Yes,Cognitive Science
111,9/2/2024 12:16,9/2/2024 12:16,anonymous,,No,Yes,Economics 
112,9/2/2024 12:18,9/2/2024 12:18,anonymous,,No,Yes,Systems Engineering
113,9/2/2024 12:19,9/2/2024 12:20,anonymous,,No,Yes,Mechanical and Aerospace engineering 
114,9/2/2024 12:20,9/2/2024 12:20,anonymous,,No,Yes,History
115,9/2/2024 12:22,9/2/2024 12:22,anonymous,,No,No,Real estate 
116,9/2/2024 12:23,9/2/2024 12:23,anonymous,,No,Yes,Comm
117,9/2/2024 12:24,9/2/2024 12:24,anonymous,,Yes,Yes,Computer Engineering 
118,9/2/2024 12:24,9/2/2024 12:25,anonymous,,No,Yes,Chemistry
119,9/2/2024 12:26,9/2/2024 12:27,anonymous,,No,Yes,biomedical engineering 
120,9/2/2024 12:27,9/2/2024 12:27,anonymous,,No,Yes,Computer Science
121,9/2/2024 12:27,9/2/2024 12:28,anonymous,,Yes,Yes,Computer Science/Economics
122,9/2/2024 12:29,9/2/2024 12:29,anonymous,,Yes,Yes,Behavioral Neuroscience
123,9/2/2024 12:30,9/2/2024 12:30,anonymous,,Yes,Yes,Statistics
124,9/2/2024 12:30,9/2/2024 12:30,anonymous,,No,Yes,Computer Science
125,9/2/2024 12:39,9/2/2024 12:40,anonymous,,Yes,Yes,Cognitive Science 
126,9/2/2024 12:39,9/2/2024 12:40,anonymous,,No,Yes,Speech Communication Disorders
127,9/2/2024 12:40,9/2/2024 12:40,anonymous,,No,Yes,Computer Science
128,9/2/2024 12:39,9/2/2024 12:40,anonymous,,Yes,Yes,Computer Science
129,9/2/2024 12:40,9/2/2024 12:40,anonymous,,Yes,Yes,Economics
130,9/2/2024 12:40,9/2/2024 12:40,anonymous,,Yes,No,Data Science PhD
131,9/2/2024 12:40,9/2/2024 12:40,anonymous,,No,No,Data Science
132,9/2/2024 12:43,9/2/2024 12:43,anonymous,,Yes,Yes,Economics
133,9/2/2024 12:55,9/2/2024 12:56,anonymous,,No,Yes,cs 
134,9/2/2024 13:01,9/2/2024 13:01,anonymous,,No,Yes,Computer Science 
135,9/2/2024 13:08,9/2/2024 13:08,anonymous,,No,Yes,Mechanical engineering
136,9/2/2024 13:32,9/2/2024 13:32,anonymous,,No,Yes,Media studies 
137,9/2/2024 13:34,9/2/2024 13:34,anonymous,,No,Yes,Biomedical Engineering
138,9/2/2024 13:42,9/2/2024 13:42,anonymous,,No,Yes,english
139,9/2/2024 13:42,9/2/2024 13:42,anonymous,,Yes,Yes,Civil Engineering
140,9/2/2024 13:44,9/2/2024 13:44,anonymous,,No,Yes,Psychology
141,9/2/2024 13:47,9/2/2024 13:47,anonymous,,No,Yes,Cognitive Science
142,9/2/2024 13:50,9/2/2024 13:50,anonymous,,No,Yes,Finance 
143,9/2/2024 13:51,9/2/2024 13:52,anonymous,,No,Yes,Spanish
144,9/2/2024 13:52,9/2/2024 13:52,anonymous,,Yes,Yes,Systems Engineering
145,9/2/2024 14:01,9/2/2024 14:02,anonymous,,No,Yes,Aerospace Engineering (technically engineering undeclared)
146,9/2/2024 14:03,9/2/2024 14:03,anonymous,,No,Yes,Nursing
147,9/2/2024 14:12,9/2/2024 14:12,anonymous,,No,Yes,Systems Engineering
148,9/2/2024 14:13,9/2/2024 14:13,anonymous,,Yes,Yes,Systems engineering
149,9/2/2024 14:13,9/2/2024 14:13,anonymous,,No,Yes,Systems Engineering
150,9/2/2024 14:13,9/2/2024 14:13,anonymous,,Yes,Yes,Systems engineering
151,9/2/2024 14:28,9/2/2024 14:29,anonymous,,No,No,business administration 
152,9/2/2024 14:29,9/2/2024 14:30,anonymous,,Yes,Yes,Global Development Studies
153,9/2/2024 14:34,9/2/2024 14:34,anonymous,,No,Yes,Computer Science
154,9/2/2024 14:37,9/2/2024 14:38,anonymous,,No,Yes,Computer Science
155,9/2/2024 12:40,9/2/2024 14:45,anonymous,,No,Yes,Cognitive Science
