Time stamp,Time,Date,What year are you in?,Is hotdog a sandwich?
8/29/2025 17:17:57,5:17:57 PM,8/29/2025,4,Yes
8/29/2025 18:33:08,6:33:08 PM,8/29/2025,3,Yes
8/29/2025 18:33:08,6:33:08 PM,8/29/2025,4,Yes
8/29/2025 18:33:29,6:33:29 PM,8/29/2025,3,Yes
8/29/2025 18:33:41,6:33:41 PM,8/29/2025,1,No
8/29/2025 18:34:19,6:34:19 PM,8/29/2025,1,No
8/29/2025 18:34:49,6:34:49 PM,8/29/2025,2,No
8/29/2025 18:35:01,6:35:01 PM,8/29/2025,1,No
8/29/2025 18:44:09,6:44:09 PM,8/29/2025,2,No
8/29/2025 19:09:18,7:09:18 PM,8/29/2025,1,No
8/29/2025 19:11:50,7:11:50 PM,8/29/2025,1,No
8/29/2025 19:28:00,7:28:00 PM,8/29/2025,3,No
8/29/2025 19:32:56,7:32:56 PM,8/29/2025,3,Yes
8/29/2025 19:33:27,7:33:27 PM,8/29/2025,4,No
8/29/2025 20:17:40,8:17:40 PM,8/29/2025,2,Yes
8/29/2025 22:07:14,10:07:14 PM,8/29/2025,4,Yes
8/29/2025 23:09:37,11:09:37 PM,8/29/2025,2,Yes
8/30/2025 14:32:39,2:32:39 PM,8/30/2025,4,No
8/30/2025 18:20:38,6:20:38 PM,8/30/2025,4,Yes
8/30/2025 18:24:34,6:24:34 PM,8/30/2025,2,No
8/30/2025 18:25:30,6:25:30 PM,8/30/2025,3,Yes
8/30/2025 19:37:44,7:37:44 PM,8/30/2025,2,No
8/30/2025 20:10:19,8:10:19 PM,8/30/2025,4,Yes
8/30/2025 21:57:42,9:57:42 PM,8/30/2025,4,No
8/31/2025 8:22:32,8:22:32 AM,8/31/2025,4,No
8/31/2025 9:56:01,9:56:01 AM,8/31/2025,3,No
8/31/2025 9:56:03,9:56:03 AM,8/31/2025,4,No
8/31/2025 9:56:05,9:56:05 AM,8/31/2025,2,No
8/31/2025 9:56:05,9:56:05 AM,8/31/2025,3,No
8/31/2025 9:56:52,9:56:52 AM,8/31/2025,4,No
8/31/2025 9:57:38,9:57:38 AM,8/31/2025,3,No
8/31/2025 10:02:13,10:02:13 AM,8/31/2025,4,No
8/31/2025 10:02:42,10:02:42 AM,8/31/2025,3,No
8/31/2025 10:02:48,10:02:48 AM,8/31/2025,3,No
8/31/2025 10:03:08,10:03:08 AM,8/31/2025,2,Yes
8/31/2025 10:03:21,10:03:21 AM,8/31/2025,4,No
8/31/2025 10:04:25,10:04:25 AM,8/31/2025,4,No
8/31/2025 10:04:54,10:04:54 AM,8/31/2025,2,No
8/31/2025 10:06:31,10:06:31 AM,8/31/2025,3,No
8/31/2025 10:09:52,10:09:52 AM,8/31/2025,4,No
8/31/2025 10:12:53,10:12:53 AM,8/31/2025,3,No
8/31/2025 10:15:13,10:15:13 AM,8/31/2025,4,No
8/31/2025 10:17:16,10:17:16 AM,8/31/2025,4,No
8/31/2025 10:22:22,10:22:22 AM,8/31/2025,2,No
8/31/2025 10:24:18,10:24:18 AM,8/31/2025,2,No
8/31/2025 10:41:18,10:41:18 AM,8/31/2025,4,No
8/31/2025 10:44:28,10:44:28 AM,8/31/2025,4,No
8/31/2025 10:44:50,10:44:50 AM,8/31/2025,3,No
8/31/2025 10:46:36,10:46:36 AM,8/31/2025,4,Yes
8/31/2025 10:50:08,10:50:08 AM,8/31/2025,4,No
8/31/2025 10:58:28,10:58:28 AM,8/31/2025,4,No
8/31/2025 10:59:02,10:59:02 AM,8/31/2025,4,No
8/31/2025 11:03:50,11:03:50 AM,8/31/2025,2,No
8/31/2025 11:06:05,11:06:05 AM,8/31/2025,2,No
8/31/2025 11:07:33,11:07:33 AM,8/31/2025,4,No
8/31/2025 11:10:35,11:10:35 AM,8/31/2025,4,No
8/31/2025 11:11:06,11:11:06 AM,8/31/2025,4,No
8/31/2025 11:11:36,11:11:36 AM,8/31/2025,2,Yes
8/31/2025 11:13:00,11:13:00 AM,8/31/2025,4,No
8/31/2025 11:30:20,11:30:20 AM,8/31/2025,4,No
8/31/2025 11:30:54,11:30:54 AM,8/31/2025,2,No
8/31/2025 11:30:59,11:30:59 AM,8/31/2025,3,No
8/31/2025 11:31:24,11:31:24 AM,8/31/2025,4,Yes
8/31/2025 11:49:53,11:49:53 AM,8/31/2025,4,No
8/31/2025 11:50:39,11:50:39 AM,8/31/2025,4,No
8/31/2025 11:51:09,11:51:09 AM,8/31/2025,4,No
8/31/2025 11:51:09,11:51:09 AM,8/31/2025,4,Yes
8/31/2025 11:51:14,11:51:14 AM,8/31/2025,3,No
8/31/2025 11:51:16,11:51:16 AM,8/31/2025,3,No
8/31/2025 11:53:55,11:53:55 AM,8/31/2025,2,No
8/31/2025 12:00:43,12:00:43 PM,8/31/2025,2,No
8/31/2025 12:04:11,12:04:11 PM,8/31/2025,3,Yes
