Timestamp,What year are you in?,Is hotdog a sandwich?
8/29/2025 18:33:41,1,No
8/29/2025 18:34:19,1,No
8/29/2025 18:35:01,1,No
8/29/2025 19:09:18,1,No
8/29/2025 19:11:50,1,No
8/31/2025 15:43:50,1,No
8/31/2025 17:05:20,1,No
9/1/2025 10:31:02,1,No
8/29/2025 18:34:49,2,No
8/29/2025 18:44:09,2,No
8/29/2025 20:17:40,2,Yes
8/29/2025 23:09:37,2,Yes
8/30/2025 18:24:34,2,No
8/30/2025 19:37:44,2,No
8/31/2025 9:56:05,2,No
8/31/2025 10:03:08,2,Yes
8/31/2025 10:04:54,2,No
8/31/2025 10:22:22,2,No
8/31/2025 10:24:18,2,No
8/31/2025 11:03:50,2,No
8/31/2025 11:06:05,2,No
8/31/2025 11:11:36,2,Yes
8/31/2025 11:30:54,2,No
8/31/2025 11:53:55,2,No
8/31/2025 12:00:43,2,No
8/31/2025 13:22:56,2,No
8/31/2025 14:18:08,2,No
8/31/2025 14:30:15,2,No
8/31/2025 14:44:03,2,No
8/31/2025 15:43:50,2,No
8/31/2025 15:45:03,2,Yes
8/31/2025 15:45:38,2,No
8/31/2025 15:47:34,2,No
8/31/2025 17:29:17,2,Yes
8/31/2025 18:18:14,2,No
8/31/2025 22:12:19,2,No
9/1/2025 3:21:39,2,No
9/1/2025 10:06:17,2,Yes
9/1/2025 10:06:58,2,No
9/1/2025 10:07:28,2,No
9/1/2025 10:09:55,2,Yes
9/1/2025 10:12:16,2,No
9/1/2025 10:23:27,2,No
9/1/2025 10:30:42,2,Yes
9/1/2025 10:37:06,2,No
9/1/2025 10:57:07,2,No
9/1/2025 11:51:13,2,No
9/1/2025 12:18:41,2,Yes
8/29/2025 18:33:08,3,Yes
8/29/2025 18:33:29,3,Yes
8/29/2025 19:28:00,3,No
8/29/2025 19:32:56,3,Yes
8/30/2025 18:25:30,3,Yes
8/31/2025 9:56:01,3,No
8/31/2025 9:56:05,3,No
8/31/2025 9:57:38,3,No
8/31/2025 10:02:42,3,No
8/31/2025 10:02:48,3,No
8/31/2025 10:06:31,3,No
8/31/2025 10:12:53,3,No
8/31/2025 10:44:50,3,No
8/31/2025 11:30:59,3,No
8/31/2025 11:51:14,3,No
8/31/2025 11:51:16,3,No
8/31/2025 12:04:11,3,Yes
8/31/2025 12:22:31,3,No
8/31/2025 13:14:42,3,No
8/31/2025 13:25:33,3,No
8/31/2025 14:13:50,3,Yes
8/31/2025 14:18:16,3,Yes
8/31/2025 14:21:10,3,No
8/31/2025 14:25:24,3,Yes
8/31/2025 14:31:01,3,No
8/31/2025 14:54:06,3,Yes
8/31/2025 15:44:17,3,No
8/31/2025 15:45:59,3,No
8/31/2025 15:46:28,3,No
8/31/2025 15:52:46,3,No
8/31/2025 16:08:29,3,No
8/31/2025 16:09:17,3,Yes
8/31/2025 16:13:45,3,No
8/31/2025 17:44:06,3,No
