Timestamp,Are you an undergraduate student at UVA?,What school are you in? (Primary Major),Is a hotdog a sandwich?
8/30/2026 13:10:45,Yes,Engineering,Yes
8/30/2026 13:32:11,Yes,McIntire,No
8/30/2026 15:08:02,Yes,Engineering,No
8/30/2026 15:08:31,Yes,Engineering,No
8/30/2026 15:08:40,Yes,Engineering,No
8/30/2026 15:21:56,Yes,Engineering,Yes
8/30/2026 21:35:02,Yes,Engineering,Yes
8/30/2026 21:36:32,Yes,College of Arts & Sciences,No
8/30/2026 21:37:46,Yes,College of Arts & Sciences,No
8/30/2026 21:39:15,Yes,McIntire,Yes
8/30/2026 21:43:26,Yes,College of Arts & Sciences,No
8/30/2026 21:45:31,Yes,College of Arts & Sciences,No
8/30/2026 21:56:31,Yes,Engineering,No
8/30/2026 22:40:02,Yes,McIntire,No
8/30/2026 22:42:16,Yes,College of Arts & Sciences,Yes
8/30/2026 22:42:29,Yes,College of Arts & Sciences,Yes
8/30/2026 23:07:24,Yes,Education,Yes
8/30/2026 23:40:11,Yes,McIntire,No
8/31/2026 9:55:21,Yes,Engineering,No
