"Timestamp","Are you an undergraduate student at UVA?","What school are you in? (Primary Major)","Is a hotdog a sandwich?"
"2026/08/30 1:10:45 PM AST","Yes","Engineering","Yes"
"2026/08/30 1:32:11 PM AST","Yes","McIntire","No"
"2026/08/30 3:08:01 PM AST","Yes","Engineering","No"
"2026/08/30 3:08:30 PM AST","Yes","Engineering","No"
"2026/08/30 3:08:40 PM AST","Yes","Engineering","No"
"2026/08/30 3:21:56 PM AST","Yes","Engineering","Yes"
"2026/08/30 9:35:02 PM AST","Yes","Engineering","Yes"
"2026/08/30 9:36:31 PM AST","Yes","College of Arts & Sciences","No"
"2026/08/30 9:37:45 PM AST","Yes","College of Arts & Sciences","No"
"2026/08/30 9:39:14 PM AST","Yes","McIntire","Yes"
"2026/08/30 9:43:26 PM AST","Yes","College of Arts & Sciences","No"
"2026/08/30 9:45:31 PM AST","Yes","College of Arts & Sciences","No"
"2026/08/30 9:56:31 PM AST","Yes","Engineering","No"
"2026/08/30 10:40:01 PM AST","Yes","McIntire","No"
"2026/08/30 10:42:16 PM AST","Yes","College of Arts & Sciences","Yes"
"2026/08/30 10:42:28 PM AST","Yes","College of Arts & Sciences","Yes"
"2026/08/30 11:07:23 PM AST","Yes","Education","Yes"
"2026/08/30 11:40:11 PM AST","Yes","McIntire","No"
"2026/08/31 9:55:20 AM AST","Yes","Engineering","No"
